# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 4569 3 41 2 119063915148898580 1 ./.git/refs/heads/master
DUPTYPE_WITHIN_SAME_TREE -4569 4 41 2 103582791429812399 1 ./.git/refs/remotes/origin/master
DUPTYPE_FIRST_OCCURRENCE 837 1 4358 2 83879543060032136 1 ./cracky/index.html-accion=major_arcana.html
DUPTYPE_WITHIN_SAME_TREE -837 1 4358 2 40813871623341064 1 ./cracky/index.html-accion=major_arcana.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 1120 1 4714 2 556194553980364414 1 ./tarot-english-major/index.html
DUPTYPE_WITHIN_SAME_TREE -1120 1 4714 2 5629499534779673 1 ./tarot-english-major/index.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 1003 1 6589 2 287667426198551803 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=124.html
DUPTYPE_WITHIN_SAME_TREE -1003 1 6589 2 76279718688907415 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=124.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 925 1 6818 2 60235645016338551 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=176.html
DUPTYPE_WITHIN_SAME_TREE -925 1 6818 2 86412817850482595 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=176.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 849 1 6820 2 31806672368560860 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=111.html
DUPTYPE_WITHIN_SAME_TREE -849 1 6820 2 216172782114080853 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=111.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 915 1 6828 2 118782440172154887 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=171.html
DUPTYPE_WITHIN_SAME_TREE -915 1 6828 2 149463212633668000 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=171.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 861 1 6830 2 34621422135667454 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=127.html
DUPTYPE_WITHIN_SAME_TREE -861 1 6830 2 134545038868003268 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=127.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 963 1 6835 2 132011764077557822 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=74.html
DUPTYPE_WITHIN_SAME_TREE -963 1 6835 2 86975767803909119 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=74.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 917 1 6876 2 100205091709251675 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=172.html
DUPTYPE_WITHIN_SAME_TREE -917 1 6876 2 14636698789258852 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=172.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 907 1 6888 2 126100789566631627 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=160.html
DUPTYPE_WITHIN_SAME_TREE -907 1 6888 2 327636872891508328 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=160.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 891 1 7001 2 193936258953899696 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=151.html
DUPTYPE_WITHIN_SAME_TREE -891 1 7001 2 285697101361612587 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=151.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 746 0 7111 2 4222124651498240 1 ./index.html-importancia=2_lang=en_catid=9.html
DUPTYPE_WITHIN_SAME_TREE -746 0 7111 2 174514485561161718 1 ./index.html-importancia=2_lang=en_catid=9.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 756 0 7113 2 8162774325447443 1 ./index.html-importancia=3_lang=en_catid=9.html
